Gene ID	Gene Symbol	Gene Biotype	Gene Description	Gene Chromosome	Gene Start	Gene Stop	Gene Strand	Scr_1	Scr_2	Scr_3	ASO_1	ASO_2	ASO_3
ENSG00000286299	ENSG00000286299	lncRNA		chr6	125268087	125274828	+	2	0	0	1	0	4
ENSG00000114021	NIT2	protein_coding	Omega-amidase NIT2	chr3	100334739	100361635	+	160	197	114	175	178	83
ENSG00000147378	FATE1	protein_coding	Fetal and adult testis-expressed transcript protein	chrX	151716035	151723194	+	3	1	2	27	26	11
ENSG00000103942	HOMER2	protein_coding	Homer protein homolog 2	chr15	82836946	82986153	-	439	411	410	343	334	259
ENSG00000198799	LRIG2	protein_coding	Leucine-rich repeats and immunoglobulin-like domains protein 2	chr1	113073198	113132260	+	241	312	206	284	313	202
ENSG00000261245	ENSG00000261245	unprocessed_pseudogene		chr16	31361278	31361695	-	0	0	2	0	0	0
ENSG00000128626	MRPS12	protein_coding	Small ribosomal subunit protein uS12m	chr19	38930944	38933168	+	80	57	97	78	68	127
ENSG00000229152	ANKRD10-IT1	lncRNA		chr13	110894639	110899172	-	8	28	8	37	35	9
ENSG00000083937	CHMP2B	protein_coding	Charged multivesicular body protein 2b	chr3	87227271	87255556	+	193	235	185	228	267	139
ENSG00000287243	THCAT155	lncRNA		chr12	3483714	3492819	-	14	0	40	0	0	0
ENSG00000177943	MAMDC4	protein_coding	Apical endosomal glycoprotein	chr9	136850943	136860799	+	46	19	35	18	26	113
ENSG00000232792	FTH1P25	processed_pseudogene		chr1	185071567	185072035	-	2	4	4	1	2	0
ENSG00000110042	DTX4	protein_coding	E3 ubiquitin-protein ligase DTX4	chr11	59171430	59208588	+	658	493	662	563	493	877
ENSG00000151332	MBIP	protein_coding	MAP3K12-binding inhibitory protein 1	chr14	36298564	36320637	-	102	151	75	191	259	63
ENSG00000132109	TRIM21	protein_coding	E3 ubiquitin-protein ligase TRIM21	chr11	4384897	4393702	-	359	283	430	351	294	386
ENSG00000245848	CEBPA	protein_coding	CCAAT/enhancer-binding protein alpha	chr19	33299934	33302534	-	141	73	149	128	112	261
ENSG00000130714	POMT1	protein_coding	Protein O-mannosyl-transferase 1	chr9	131502789	131523806	+	149	129	172	158	150	260
ENSG00000167992	VWCE	protein_coding	von Willebrand factor C and EGF domain-containing protein	chr11	61258286	61295316	-	14	6	12	9	4	16
ENSG00000130640	TUBGCP2	protein_coding	Gamma-tubulin complex component 2	chr10	133278635	133318823	-	511	380	565	462	455	801
ENSG00000168944	CEP120	protein_coding	Centrosomal protein of 120 kDa	chr5	123344890	123423592	-	255	293	181	253	309	168
ENSG00000129810	SGO1	protein_coding	Shugoshin 1	chr3	20160593	20186206	-	38	25	24	17	17	5
ENSG00000164117	FBXO8	protein_coding	F-box only protein 8	chr4	174236658	174283667	-	107	117	81	115	116	51
ENSG00000227161	ENSG00000227161	lncRNA		chr15	59644298	59672302	-	2	3	1	1	0	1
ENSG00000243352	RN7SL8P	misc_RNA		chr7	104911928	104912193	+	16	14	23	14	13	22
ENSG00000177889	UBE2N	protein_coding	Ubiquitin-conjugating enzyme E2 N	chr12	93405673	93441947	-	237	204	177	179	197	93
ENSG00000161533	ACOX1	protein_coding	Peroxisomal acyl-coenzyme A oxidase 1	chr17	75941507	75979177	-	664	602	691	762	732	715
ENSG00000267121	FMNL1-DT	lncRNA		chr17	45190931	45222274	-	140	93	172	55	68	145
ENSG00000197016	ZNF470	protein_coding	Zinc finger protein 470	chr19	56567468	56588911	+	86	104	83	61	80	39
ENSG00000187535	IFT140	protein_coding	Intraflagellar transport protein 140 homolog	chr16	1510427	1612072	-	391	491	612	497	450	854
ENSG00000121578	B4GALT4	protein_coding	Beta-1	chr3	119211732	119240946	-	228	216	195	178	199	125
ENSG00000105647	PIK3R2	protein_coding	Phosphatidylinositol 3-kinase regulatory subunit beta	chr19	18153163	18170532	+	8	5	6	6	2	12
ENSG00000291006	ENSG00000291006	lncRNA		chr6	52664366	52669155	+	46	53	42	32	26	31
ENSG00000263207	ENSG00000263207	lncRNA		chr16	55332355	55332967	+	0	1	0	3	0	0
ENSG00000246016	LINC01513	lncRNA		chr5	10479371	10482309	+	2	6	1	1	1	1
ENSG00000231720	ENSG00000231720	lncRNA		chr6	167237508	167240480	-	1	4	2	1	1	3
ENSG00000100138	SNU13	protein_coding	NHP2-like protein 1	chr22	41673933	41690504	-	260	210	285	262	246	365
ENSG00000225956	ENSG00000225956	lncRNA		chr20	13244064	13245369	-	2	4	1	3	6	3
ENSG00000113578	FGF1	protein_coding	Fibroblast growth factor 1	chr5	142592178	142698070	-	40	25	34	12	13	8
ENSG00000285665	TOP1P1	processed_pseudogene		chr1	171339299	171339959	+	3	3	2	4	6	0
ENSG00000253704	VIRMA-DT	lncRNA		chr8	94553668	94570652	+	5	13	4	9	9	4
ENSG00000085733	CTTN	protein_coding	Src substrate cortactin	chr11	70398404	70436584	+	1247	1119	1499	1203	1122	1628
ENSG00000197070	ARRDC1	protein_coding	Arrestin domain-containing protein 1	chr9	137605685	137615360	+	122	104	145	88	78	232
ENSG00000169100	SLC25A6	protein_coding	ADP/ATP translocase 3	chrX	1386152	1392113	-	599	550	809	636	602	1056
ENSG00000178055	PRSS42P	transcribed_unitary_pseudogene	Putative serine protease 42	chr3	46829542	46834095	-	1	4	2	5	2	4
ENSG00000175895	PLEKHF2	protein_coding	Pleckstrin homology domain-containing family F member 2	chr8	95115642	95156698	+	116	146	84	105	136	77
ENSG00000197251	LINC00336	lncRNA	Putative uncharacterized protein encoded by LINC00336	chr6	33586104	33593338	-	1	3	0	5	2	3
ENSG00000176454	LPCAT4	protein_coding	Lysophospholipid acyltransferase LPCAT4	chr15	34358633	34367196	-	164	192	208	131	130	236
ENSG00000249853	HS3ST5	protein_coding	Heparan sulfate glucosamine 3-O-sulfotransferase 5	chr6	114055596	114343023	-	3	6	4	10	11	3
ENSG00000173852	DPY19L1	protein_coding	Probable C-mannosyltransferase DPY19L1	chr7	34927292	35038271	-	339	378	261	475	511	234
ENSG00000279428	ENSG00000279428	TEC		chr17	18107334	18110463	-	1	1	0	1	1	4
ENSG00000258513	ENSG00000258513	transcribed_processed_pseudogene		chr14	74192589	74192823	+	1	0	0	2	2	0
ENSG00000111344	RASAL1	protein_coding	RasGAP-activating-like protein 1	chr12	113098819	113136239	-	10	11	13	3	2	8
ENSG00000275401	ENSG00000275401	lncRNA		chr20	38418483	38419202	-	22	15	16	21	14	23
ENSG00000259031	ENSG00000259031	lncRNA		chr14	100538939	100540409	+	0	0	0	0	0	4
ENSG00000274259	SYNGAP1-AS1	lncRNA		chr6	33437363	33454453	-	12	5	11	5	5	5
ENSG00000175348	TMEM9B	protein_coding	Transmembrane protein 9B	chr11	8947202	8965011	-	156	164	125	179	183	98
ENSG00000260422	ENSG00000260422	lncRNA		chr6	164084023	164085661	-	6	1	1	0	1	0
ENSG00000164308	ERAP2	protein_coding	Endoplasmic reticulum aminopeptidase 2	chr5	96875986	96919703	+	422	425	257	139	121	31
ENSG00000221332	U3	snoRNA	U3	chr6	75398860	75399067	-	0	1	0	1	2	0
ENSG00000173409	ARV1	protein_coding	Protein ARV1	chr1	230978981	231000733	+	87	95	47	94	99	38
ENSG00000090924	PLEKHG2	protein_coding	Pleckstrin homology domain-containing family G member 2	chr19	39412669	39428415	+	232	220	305	325	278	788
ENSG00000139974	SLC38A6	protein_coding	Solute carrier family 38 member 6	chr14	60981114	61114316	+	192	246	183	209	213	121
ENSG00000158220	ESYT3	protein_coding	Extended synaptotagmin-3	chr3	138434586	138481686	+	82	47	88	220	194	263
ENSG00000086991	NOX4	protein_coding	NADPH oxidase 4	chr11	89324353	89498187	-	7	10	8	13	15	5
ENSG00000178803	ADORA2A-AS1	lncRNA	Putative uncharacterized protein ADORA2A-AS1	chr22	24429206	24495074	-	3	2	4	0	0	3
ENSG00000179909	ZNF154	protein_coding	Zinc finger protein 154	chr19	57696275	57709204	-	101	112	78	123	112	79
ENSG00000146247	PHIP	protein_coding	PH-interacting protein	chr6	78934419	79078287	-	778	991	581	864	1159	442
ENSG00000273733	ENSG00000273733	lncRNA		chr19	11221083	11221573	+	2	4	0	3	2	0
ENSG00000244122	UGT1A7	protein_coding	UDP-glucuronosyltransferase 1A7	chr2	233681901	233773300	+	24	28	11	2	3	1
ENSG00000213104	NPM1P46	processed_pseudogene		chr2	197379701	197380892	-	0	3	2	0	1	0
ENSG00000273450	ENSG00000273450	lncRNA		chr10	94314907	94315327	-	7	0	1	0	0	1
ENSG00000290019	ENSG00000290019	lncRNA		chr5	172802858	172807210	+	3	3	0	0	0	0
ENSG00000031698	SARS1	protein_coding	Serine--tRNA ligase	chr1	109213918	109238182	+	810	758	930	863	872	1267
ENSG00000239405	TMED10P2	processed_pseudogene		chr3	128538020	128538631	+	2	4	1	3	6	1
ENSG00000253263	ENSG00000253263	lncRNA		chr8	102891876	102893608	+	2	3	1	3	3	1
ENSG00000261582	ENSG00000261582	protein_coding	Eukaryotic translation initiation factor 6	chr20	35267885	35280043	-	9	13	8	9	7	12
ENSG00000289917	ENSG00000289917	lncRNA		chr14	103121282	103121644	-	0	0	0	0	1	3
ENSG00000152818	UTRN	protein_coding	Utrophin	chr6	144285335	144853034	+	1939	1925	1475	2772	3160	1648
ENSG00000119514	GALNT12	protein_coding	Polypeptide N-acetylgalactosaminyltransferase 12	chr9	98807670	98850081	+	285	211	346	177	172	203
ENSG00000126759	CFP	protein_coding	Properdin	chrX	47623172	47630305	-	14	13	13	3	5	9
ENSG00000116984	MTR	protein_coding	Methionine synthase	chr1	236795260	236921278	+	1058	1158	972	1209	1336	929
ENSG00000165240	ATP7A	protein_coding	Copper-transporting ATPase 1	chrX	77910690	78050395	+	290	410	180	429	480	106
ENSG00000181026	AEN	protein_coding	Apoptosis-enhancing nuclease	chr15	88621337	88632281	+	478	269	498	326	316	622
ENSG00000204116	CHIC1	protein_coding	Cysteine-rich hydrophobic domain-containing protein 1	chrX	73563197	73687111	+	80	79	102	88	106	100
ENSG00000171492	LRRC8D	protein_coding	Volume-regulated anion channel subunit LRRC8D	chr1	89821014	89936611	+	196	194	174	185	211	139
ENSG00000259810	ENSG00000259810	lncRNA		chr16	31788202	31790993	+	2	3	1	2	2	0
ENSG00000269925	ENSG00000269925	lncRNA		chr1	7776383	7776775	+	3	3	2	3	1	0
ENSG00000108349	CASC3	protein_coding	Protein CASC3	chr17	40140318	40172171	+	844	788	1031	915	877	1266
ENSG00000149633	KIAA1755	protein_coding	Uncharacterized protein KIAA1755	chr20	38210503	38260772	-	24	75	55	74	69	97
ENSG00000035403	VCL	protein_coding	Vinculin	chr10	73995193	74121363	+	1569	1277	1558	1329	1164	1204
ENSG00000128654	MTX2	protein_coding	Metaxin-2	chr2	176269395	176338025	+	68	67	73	66	70	46
ENSG00000115648	MLPH	protein_coding	Melanophilin	chr2	237485428	237555322	+	369	332	410	747	669	1221
ENSG00000170855	TRIAP1	protein_coding	TP53-regulated inhibitor of apoptosis 1	chr12	120443964	120446384	-	71	49	48	79	90	30
ENSG00000065923	SLC9A7	protein_coding	Sodium/hydrogen exchanger 7	chrX	46599251	46759118	-	652	541	609	337	334	254
ENSG00000120860	WASHC3	protein_coding	WASH complex subunit 3	chr12	102012840	102062149	-	79	93	61	108	131	47
ENSG00000267248	ENSG00000267248	lncRNA		chr17	60122642	60135743	-	13	21	20	26	20	12
ENSG00000244169	RN7SL120P	misc_RNA		chr3	1065580	1065875	-	0	1	2	0	0	3
ENSG00000151240	DIP2C	protein_coding	Disco-interacting protein 2 homolog C	chr10	274190	689668	-	471	554	609	639	622	1023
ENSG00000139112	GABARAPL1	protein_coding	Gamma-aminobutyric acid receptor-associated protein-like 1	chr12	10212458	10223128	+	443	441	591	487	554	758
ENSG00000204889	KRT40	protein_coding	Keratin	chr17	40977715	40987135	-	7	9	10	3	2	5
ENSG00000177283	FZD8	protein_coding	Frizzled-8	chr10	35638247	35642296	-	203	137	244	187	141	300
ENSG00000196935	SRGAP1	protein_coding	SLIT-ROBO Rho GTPase-activating protein 1	chr12	63843761	64162217	+	1111	1308	1105	952	806	617
ENSG00000185379	RAD51D	protein_coding	DNA repair protein RAD51 homolog 4	chr17	35092221	35121522	-	103	102	84	98	82	61
ENSG00000270802	ENSG00000270802	processed_pseudogene		chr19	15338948	15339237	+	7	5	4	4	3	1
ENSG00000090097	PCBP4	protein_coding	Poly(rC)-binding protein 4	chr3	51957454	51974016	-	147	130	186	121	89	232
ENSG00000128463	EMC4	protein_coding	ER membrane protein complex subunit 4	chr15	34225013	34230156	+	223	245	260	264	264	291
ENSG00000237126	ENSG00000237126	lncRNA		chr2	232580948	232611971	-	3	3	1	1	0	3
ENSG00000198496	NBR2	lncRNA	Neighbor of BRCA1 gene 2	chr17	43125551	43153671	+	51	39	53	53	48	82
ENSG00000116815	CD58	protein_coding	Lymphocyte function-associated antigen 3	chr1	116514534	116571039	-	72	98	37	65	87	22
ENSG00000152683	SLC30A6	protein_coding	Zinc transporter 6	chr2	32165841	32224379	+	174	180	108	194	228	83
ENSG00000241351	IGKV3-11	IG_V_gene	Immunoglobulin kappa variable 3-11	chr2	89027171	89027731	-	3	5	17	30	30	67
ENSG00000228857	ACTR3-AS1	lncRNA		chr2	113831049	113891020	-	24	18	26	15	19	16
ENSG00000064489	BORCS8-MEF2B	protein_coding	BORCS8-MEF2B readthrough	chr19	19145569	19192158	-	2	3	0	0	1	4
ENSG00000286201	ENSG00000286201	lncRNA		chrY	16599730	16644539	-	4	17	8	1	0	0
ENSG00000215223	CYP51A1P3	processed_pseudogene		chr6	148478693	148480763	+	9	13	10	10	11	8
ENSG00000090861	AARS1	protein_coding	Alanine--tRNA ligase	chr16	70251983	70289707	-	1205	1044	1570	1227	1196	2409
ENSG00000119718	EIF2B2	protein_coding	Translation initiation factor eIF-2B subunit beta	chr14	75002921	75012366	+	189	189	225	422	390	520
ENSG00000186130	ZBTB6	protein_coding	Zinc finger and BTB domain-containing protein 6	chr9	122908056	122913323	-	65	83	25	70	76	16
ENSG00000115207	GTF3C2	protein_coding	General transcription factor 3C polypeptide 2	chr2	27325849	27356999	-	325	308	415	347	307	611
ENSG00000127663	KDM4B	protein_coding	Lysine-specific demethylase 4B	chr19	4969113	5153598	+	667	599	847	621	597	1254
ENSG00000256039	LINC02446	lncRNA		chr12	10553362	10572761	+	3	1	2	1	1	0
ENSG00000162639	HENMT1	protein_coding	Small RNA 2'-O-methyltransferase	chr1	108648290	108661526	-	35	15	20	22	17	19
ENSG00000100767	PAPLN	protein_coding	Papilin	chr14	73237497	73274640	+	98	87	139	168	143	342
ENSG00000161956	SENP3	protein_coding	Sentrin-specific protease 3	chr17	7561919	7571969	+	106	72	139	103	96	145
ENSG00000289055	ENSG00000289055	lncRNA		chr1	244047342	244048245	-	3	0	0	4	6	3
ENSG00000228084	ENSG00000228084	lncRNA		chr1	99968382	99969957	-	9	6	8	4	6	3
ENSG00000122733	PHF24	protein_coding	PHD finger protein 24	chr9	34957608	34982544	+	24	13	26	15	12	32
ENSG00000198673	TAFA2	protein_coding	Chemokine-like protein TAFA-2	chr12	61708273	62279150	-	34	25	16	16	36	12
ENSG00000267607	ICAM4-AS1	lncRNA		chr19	10285801	10289019	-	5	2	11	5	7	19
ENSG00000005421	PON1	protein_coding	Serum paraoxonase/arylesterase 1	chr7	95297676	95324532	-	3	1	1	3	5	3
ENSG00000198520	ARMH1	protein_coding	Armadillo-like helical domain containing protein 1	chr1	44674692	44725591	+	46	81	42	26	22	15
ENSG00000197696	NMB	protein_coding	Neuromedin-B	chr15	84655129	84658563	-	33	36	43	93	101	109
ENSG00000264269	DYM-AS1	lncRNA		chr18	49023703	49048474	+	1	1	1	3	3	0
ENSG00000200830	RN7SKP134	misc_RNA		chr12	14553702	14553970	-	1	0	2	0	1	1
ENSG00000251774	RNU6-377P	snRNA		chr3	12514706	12514807	+	3	4	2	3	2	0
ENSG00000152782	PANK1	protein_coding	Pantothenate kinase 1	chr10	89582988	89645242	-	48	43	54	51	55	73
ENSG00000172465	TCEAL1	protein_coding	Transcription elongation factor A protein-like 1	chrX	103628704	103630953	+	99	83	121	108	142	89
ENSG00000122176	FMOD	protein_coding	Fibromodulin	chr1	203340628	203351758	-	178	349	418	741	749	1447
ENSG00000181625	SLX1B	protein_coding	Structure-specific endonuclease subunit SLX1	chr16	29454533	29458219	+	0	0	0	1	1	3
ENSG00000234028	EIF2AK3-DT	lncRNA		chr2	88627539	88631821	+	27	22	8	19	22	23
ENSG00000164062	APEH	protein_coding	Acylamino-acid-releasing enzyme	chr3	49674014	49683971	+	383	293	469	353	316	689
ENSG00000065534	MYLK	protein_coding	Myosin light chain kinase	chr3	123610049	123884332	-	1421	1876	1847	1878	1632	2140
ENSG00000115919	KYNU	protein_coding	Kynureninase	chr2	142877657	143055833	+	319	243	207	142	205	90
ENSG00000020577	SAMD4A	protein_coding	Protein Smaug homolog 1	chr14	54566117	54793315	+	1131	906	1018	707	776	755
ENSG00000072609	CHFR	protein_coding	E3 ubiquitin-protein ligase CHFR	chr12	132822187	132956304	-	599	463	659	448	410	739
ENSG00000135916	ITM2C	protein_coding	Integral membrane protein 2C	chr2	230864639	230879248	+	238	240	309	268	212	316
ENSG00000100650	SRSF5	protein_coding	Serine/arginine-rich splicing factor 5	chr14	69726900	69772005	+	576	557	543	512	588	531
ENSG00000256116	ENSG00000256116	lncRNA		chr11	64229214	64234352	-	12	15	24	11	13	38
ENSG00000232969	ENSG00000232969	lncRNA		chr21	44339376	44340470	+	3	0	1	1	1	5
ENSG00000156232	WHAMM	protein_coding	WASP homolog-associated protein with actin	chr15	82809628	82836108	+	271	239	270	297	309	269
ENSG00000237978	KCNMB2-AS1	lncRNA		chr3	178526505	178937352	-	13	19	14	12	11	1
ENSG00000154310	TNIK	protein_coding	TRAF2 and NCK-interacting protein kinase	chr3	171058414	171460408	-	674	655	561	690	695	424
ENSG00000159307	SCUBE1	protein_coding	Signal peptide	chr22	43197280	43343372	-	51	28	40	180	164	370
ENSG00000169896	ITGAM	protein_coding	Integrin alpha-M	chr16	31259967	31332892	+	1001	740	1246	533	464	875
